image_label,celebrity_name
0002256a9752413816e3cd4913b60439.jpg,chrissy_teigen
0005a8326e74d95f21fbbdbc54f3d437.jpg,garth_brooks
004e7db85b62775ddae8b232e64cf663.jpg,britney_spears
005897ea54488976b143a8b0a496e25f.jpg,katy_perry
0077a4ecd1e9d2488c556e095b4131a8.jpg,john_mccain
0084a51069ca1712e2052034a59b773e.jpg,ellen_page
008bd7f425951a70fd4bc56cd4ddc4e8.jpg,nikola_tesla
00a6244ebe07bc50c75793e656f6d666.jpg,leonardo_dicaprio
00af1288e4d9f703cc562cd73d9e8a74.jpg,ryan_gosling
00b946bffa95e6af61a558a4f62804d0.jpg,natalie_portman
00d458a9c2c035a9c2ebbfdddba76a46.jpg,mikhail_gorbachev
00f6bd630c7141e20cb32751d2d04ee1.jpg,adam_levine
0134e9abeacb40b61ed55d2bb5dc5307.jpg,marvin_gaye
015ecd62e06497fd3a65316f8dd747d6.jpg,kanye_west
017dff84621ebcb9c720ad56771a7e92.jpg,george_bush
019c358921d5a62684066b80c6f823cd.jpg,amy_poehler
01a53590abae6c1c3ceecface8f8a6ca.jpg,amy_poehler
01b34fd87d07661fe2581af33d517912.jpg,steven_spielberg
01d158cdcb40685a3eb32821f7056d1e.jpg,taylor_swift
01d328e91741c142f622dadd877dcb24.jpg,gwyneth_paltrow
01f164a07164f225136d0e2efeeadec4.jpg,angelina_jolie
0257c45ca6d105370f58f22b980e8cc7.jpg,audrey_hepburn
02675c093d74b21bbecfa0d3d70d9101.jpg,ronald_reagan
026b6a6fcdeee0f90fe9b92c5dd91be7.jpg,saoirse_ronan
0293e1b6405c18c3a4a403034094343f.jpg,amy_poehler
02bb338a9e17bff44dbad335d90e699e.jpg,sheryl_sandberg
02ed68aa77a567f9b3c8a726cadf0ba8.jpg,leonardo_dicaprio
02f83de19928712ca497f71bcd216aa0.jpg,lady_gaga
0304dc04aa0a5b515e5f0a8118237c6d.jpg,carly_fiorina
034018dd1ad6ad9956fffd4ecd06c3b4.jpg,lady_gaga
034a72476cbc8075f223ff73e757b34d.jpg,cristiano_ronaldo
036c052ccff5bb5248d6831c8710b44c.jpg,elton_john
037bd9bd071ace954d27f99bae53c296.jpg,ronald_reagan
0383c975031a7727e060f8721674c02a.jpg,garth_brooks
038ef3e0bfc024e5036178977a2a1de8.jpg,tom_hanks
03927973b76c88e54e18009b0acd12a4.jpg,audrey_hepburn
03c9bbe96667f4e9956eebdc759ce31c.jpg,celine_dion
03cba11e76bd9541b538f49dc200adff.jpg,emily_blunt
03fdf8ca13226c135dd31e9845cba905.jpg,cary_grant
040b492123bd07c408063fd6b4b62e5b.jpg,cristiano_ronaldo
04169a945fa5b797b109f2c1737d32c0.jpg,angelina_jolie
0427827e8fdc19ccba8a49f401f18c97.jpg,bill_clinton
042fc2b5ba1f5ca123327ab51262c68e.jpg,mila_kunis
045105b3e29d8226c42e34b39482a6ab.jpg,jennifer_aniston
04674a8b65564e81fc80f4ee356b3087.jpg,gwyneth_paltrow
04872dac2586ae83ece2bd9962de401c.jpg,amy_schumer
048f8092665a119bf3c741083c017cac.jpg,mitt_romney
049dc6c4ed7d66dc0d279d23cf643e13.jpg,oprah_winfrey
04d2287122d50bb3be22baed8c8ce7e4.jpg,elton_john
04f660ad2f1930472595d73924af1eb0.jpg,charlie_chaplin
052e1945af7a9c5c39fa75abb4f66c3b.jpg,al_franken
053afc40332c6861b40669e2290d8a14.jpg,cristiano_ronaldo
05454ef6b60c21c45c2247c265c8664a.jpg,celine_dion
0547fdf73a64f3a33190b7828f3fdff2.jpg,jennifer_lawrence
0554496baa32c1d853eb74f01d7a178d.jpg,adam_levine
058a20d7ee37d588645ef280b76f843d.jpg,jennifer_lawrence
05c4b1c49462986d1ba62567b54158bc.jpg,ellen_page
05c7584ec90e255a8d13a326279a058c.jpg,celine_dion
05d45526a7336928d1e7f0ffb63df050.jpg,ben_affleck
05f9f128ed4b7e03d5ebe485d3cdad84.jpg,audrey_hepburn
060069e3ace534f3576f8b4c6dbedf0f.jpg,franklin_roosevelt
0602a51e3acf86956388e6150ec3dbf3.jpg,amy_schumer
063efb51b52b3acf1871dcc71e6e1a52.jpg,al_franken
0666648e7212455d71da98a0771f23be.jpg,audrey_hepburn
06deaf81a183dfb288769c7b1297d468.jpg,natalie_portman
06e2d1f7111aa6cc0ac7b4dfedd9fb66.jpg,natalie_portman
07328c924b5a36b3cb3bb4b51d3a7119.jpg,sheryl_sandberg
0752ca0fb5c798fb2ff461bf372400ae.jpg,aretha_franklin
075458cf994f16d77825e80401e73d89.jpg,lady_gaga
0760a7028a2494c4b6bfcb382d219976.jpg,aretha_franklin
